prognosticator_slug,prognosticator_name,location,prognosticator_type,prognosticator_status,prognosticator_creature,prognosticator_phylum,prognosticator_class,prognosticator_order
Scramble-the-duck,Scramble the Duck,"Eastford, CT",Duck,Creature,Duck,Chordata,Aves,Anseriformes
Seattle-Sue,Seattle Sue,"Seattle, WA",Stuffed Mountain Beaver,Inanimate,Mountain Beaver,Chordata,Mammalia,Rodentia
Shadow,Shadow,"Brookfield, IL",Groundhogs,Creature,Groundhog,Chordata,Mammalia,Rodentia
Shadow-and-Sunshine,Shadow and Sunshine,"Brookfield, IL",Groundhogs,Creature,Groundhog,Chordata,Mammalia,Rodentia
Shipoke-Sheena,Shipoke Sheena,"Harrisburg, PA",Dog dressed as a bear pretending to be a groundhog,Creature,Dog,Chordata,Mammalia,Carnivora
Shubenacadie-Sam,Shubenacadie Sam,"Shubenacadie, NS",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Simms,Simms,"West Orange, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Sir-Desmond-of-Algiers,Sir Desmond of Algiers,"New Orleans, LA",Dog,Creature,Dog,Chordata,Mammalia,Carnivora
Sir-Thomas-Hastings,Sir Thomas Hastings,"Hastings, NE",Stuffed groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Sir-Walter-Wally,Sir Walter Wally,"Raleigh, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Smith-Lake-Jake,Smith Lake Jake,"Graysville, AL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Snack-Town-Steve,Snack Town Steve,"Hanover, PA",Gray Squirrel,Creature,Squirrel,Chordata,Mammalia,Rodentia
Snerd,Snerd,"Garner, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Snohomish-Slew,Snohomish Slew,"Snohomish, WA",Bullfrog,Creature,Bullfrog,Chordata,Amphibia,Anura
Snow-Lilly,Snow Lilly,"Milwaukee, WI",Polar bear,Creature,Polar Bear,Chordata,Mammalia,Carnivora
Snowy,Snowy,"Pend Oreille County, WA",Prarie dog,Creature,Prairie Dog,Chordata,Mammalia,Rodentia
Somerset-Maugham,Somerset Maugham,"Bridgewater, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Somerset-Sadie,Somerset Sadie,"Bridgewater, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Sonic,Sonic,"Kansas City, MO",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
South-Shore-Sally,South Shore Sally,"Munster, IN",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Spanky,Spanky,"West Palm Beach, FL",Sun bear,Creature,Bear,Chordata,Mammalia,Carnivora
Spike,Spike,"Duluth, MN",Porcupine,Creature,Porcupine,Chordata,Mammalia,Rodentia
Spike-Kansas-City-Zoo,Spike,"Kansas City, MO",Porcupine,Creature,Porcupine,Chordata,Mammalia,Rodentia
Spike-the-Prognosticating-Porcupine,Spike the Prognosticating Porcupine,"Jacksonville, FL",Porcupine,Creature,Porcupine,Chordata,Mammalia,Rodentia
Squeaky-and-Toby,Squeaky and Toby,"Chicago, IL",Groundhogs,Creature,Groundhog,Chordata,Mammalia,Rodentia
Starr-Lions,Starr Lions,"Greenfield, WI",Lion statues,Inanimate,Lion,Chordata,Mammalia,Carnivora
Staten-Island-Chuck,Staten Island Chuck,"Staten Island, NY",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Stonewall-Jackson,Stonewall Jackson,"Wantage, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Stormy-and-Cloudy,Stormy and Cloudy,"Brookfield, IL",Groundhogs,Creature,Groundhog,Chordata,Mammalia,Rodentia
Stormy-Marmot,Stormy Marmot,"Aurora, CO",Stuffed yellow-bellied marmot,Inanimate,Marmot,Chordata,Mammalia,Rodentia
Stumptown-Fil,Stumptown Fil,"Portland, OR",Beaver,Creature,Beaver,Chordata,Mammalia,Rodentia
Sunny-Milwaukee,Sunny,"Milwaukee, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Sunny,Sunny,"West Palm Beach, FL",Sun bear,Creature,Bear,Chordata,Mammalia,Carnivora
Sunny-the-Groundhog,Sunny the Groundhog,"Racine, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Sunset-Sam,Sunset Sam,"Sunset City, UT",Guinea Pig,Creature,Guinea Pig,Chordata,Mammalia,Rodentia
Sunshine,Sunshine,"Brookfield, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Sunshine2,Sunshine,"Brookfield, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Susie,Susie,"Philadelphia, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Susquehanna-Sherman,Susquehanna Sherman,"Mount Wolf, PA",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Suzi,Suzi,"West Palm Beach, FL",Sun bear,Creature,Bear,Chordata,Mammalia,Carnivora
sweet-pea,Sweet Pea,"Newport News, VA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Sylvia-Armadillo,"Sylvia, The Apex Armadillo","Apex, NC",Armadillo,Creature,Armadillo,Chordata,Mammalia,Cingulata
T-Boy-the-Nutria,T-Boy the Nutria,"New Orleans, LA",Nutria,Creature,Nutria,Chordata,Mammalia,Rodentia
Tacoma-Tilly,Tacoma Tilly,"Tacoma, WA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Tad,Tad,"Snohomish, WA",Frog mascot,Inanimate,Frog,Chordata,Amphibia,Anura
Tad-and-Lil,Tad and Lil,"Snohomish, WA",Frog mascots,Inanimate,Frog,Chordata,Amphibia,Anura
Tater-the-Groundhog,Tater,"Chimney Rock, NC",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Tater,Tater the Hedgehog,"Kansas City, MO",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
That-Dog-Named-Gidget,That Dog Named Gidget,"Hurleyville, NY",Havanese,Creature,Dog,Chordata,Mammalia,Carnivora
Tinicum-Tim,Tinicum Tim,"Philadelphia, PA",Groundhog Puppet,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Tiva,Tiva,"Middletown, VA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Toby,Toby,"Chicago, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Toby-and-Winston,Toby and Winston,"Chicago, IL",Groundhogs,Creature,Groundhog,Chordata,Mammalia,Rodentia
Tumbleweed,Tumbleweed,"Brookfield, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Turkey-and-Sequoia,Turkey and Sequoia,"New Orleans, LA",Capybaras,Creature,Capybara,Chordata,Mammalia,Rodentia
Tutor,Tutor,"Oxford, MI",Llama,Creature,Llama,Chordata,Mammalia,Artiodactyla
Two-Rivers-Tunnel,Two Rivers Tunnel,"Mira, NS",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Unadilla-Bill,Unadilla Bill,"Unadilla, NE",Stuffed groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Unadilla-Billie,Unadilla Billie,"Unadilla, NE",Stuffed groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Uni,Uni,"Myerstown, PA",Taxidermy mount Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Van-Isle-Violet,Van Isle Violet,"Nanaimo, BC",Marmot,Creature,Marmot,Chordata,Mammalia,Rodentia
Velda-the-Hedgehog,Velda the Hedgehog,"Portland, OR",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Virginia-Living-Museum-animals,Virginia Living Museum animals,"Newport News, VA",Unknown,Creature,Unknown,,,
Waffles,Waffles,"Colorado Springs, CO",Porcupine,Creature,Porcupine,Chordata,Mammalia,Rodentia
Waldo-Milwaukee,Waldo,"Milwaukee, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Waldo-the-Woodchuck,Waldo the Woodchuck,"Oconomowoc, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Walnut,Walnut,"Dayton, OH",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Wanda,Wanda,"Milwaukee, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Wanda-the-Groundhog,Wanda the Groundhog,IL,Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Warkworth-Wilma,Warkworth Wilma,"Warkworth, ON",Stuff Plush Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Western-Maryland-Murray,Western Maryland Murray,"Cumberland, MD",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Westey,Westey,"Cincinnati, OH",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Whiskers-J-the-Hedgehog,Whiskers J.,"Portland, OR",Hedgehog,Creature,Hedgehog,Chordata,Mammalia,Eulipotyphla
Wiarton-Willie,Wiarton Willie,"Wiarton, ON",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Wildwood-Willie,Wildwood Willie,"Toledo, OH",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Will-and-wiley,Will and Wiley,"Oklahoma City, OK",Grizzly bears,Creature,Grizzly Bear,Chordata,Mammalia,Carnivora
Willie-the-groundhog,Willie the Groundhog,"Indianapolis, IN",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Willow-Groundhog,Willow,"Dow, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Willow-the-Woodchuck,Willow the Woodchuck,"Oconomowoc, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Winnipeg-Willow,Winnipeg Willow,"Winnipeg, MB",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Winnipeg-Wyn,Winnipeg Wyn,"Winnipeg, MB",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Winston,Winston,"Chicago, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Winston-Churchill,Winston Churchill,"Cincinnati, OH",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woodburn-Wild-Charles-Winchester,Woodburn Wild Charles Winchester,"Woodburn, IN",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woodine,Woodine,"Milwaukee, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woodrow-K-Chuck,Woodrow K. Chuck,"West Orange, NJ",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woodstock-Willie,Woodstock Willie,"Woodstock, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Birmingham-Woody,Woody,"Birmingham, AL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Lincoln-Park-Woody1,Woody,"Chicago, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Lincoln-Park-Woody2,Woody,"Chicago, IL",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woody,Woody,"Howell, MI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woody-Milwaukee,Woody,"Milwaukee, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Woody-Guthrie,Woody Guthrie,"New Orleans, LA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Wurzel,Wurzel,"Philadelphia, PA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Wynonna-the-Wild-Hearts-Woodchuck,Wynonna the Wild Hearts Woodchuck,"Lewisburg, OH",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Wynter,Wynter,"Milwaukee, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Yahdee,Yahdee,"Schnecksville, PA",Stuffed groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Yonah-the-Groundhog,Yonah the Groundhog,"Cleveland, GA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
groundhog-mamma,Groundhog mamma,02,Stuffed groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Featherstone,Featherstone,"Leominster, MA",Plastic Pink Flamingo,Inanimate,Flamingo,Chordata,Aves,Phoenicopteriformes
Bay-Beach-Bobbie,Bay Beach Bobbie,"Green Bay, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Portage-la-Prairie-Larry,Portage la Prairie Larry,"Portage la Prairie, MB",Stuffed Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Passamaquoddy-Pete,Passamaquoddy Pete,"Saint Andrews, NB",Homemade Groundhog,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Bay-Beach-Bernard,Bay Beach Bernard,"Green Bay, WI",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Marietta-Melvin,Marietta Melvin,"Marietta, PA",Groundhog puppet,Inanimate,Groundhog,Chordata,Mammalia,Rodentia
Tiana-Louis-and-Charlotte,"Tiana, Louis, and Charlotte","New Orleans, LA",Capybaras,Creature,Capybara,Chordata,Mammalia,Rodentia
Hudson-the-Polar-Bear,Hudson the Polar Bear,"Toronto, ON",Polar Bear,Creature,Polar Bear,Chordata,Mammalia,Carnivora
Milwaukee-Zoo-Eastern-Black-Rhinos,Milwaukee County Zoo Eastern Black Rhinos,"Milwaukee, WI",Eastern Black Rhinos,Creature,Rhinoceros,Chordata,Mammalia,Perissodactyla
Paulie-the-Rabbit,Paulie the Rabbit,"Milltown, NJ",Rabbit,Creature,Rabbit,Chordata,Mammalia,Lagomorpha
Tomothy,Tomothy,"Sewell, NJ",Eastern box turtle,Creature,Box Turtle,Chordata,Reptilia,Testudines
Caterpillar-Joe,Caterpillar Joe,"Trenton, GA",Painted rocks that resemble a caterpillar,Inanimate,Caterpillar,Arthropoda,Insecta,Lepidoptera
pluto-the-good-bunny,"Pluto ""The Good Bunny""","Apex, NC",Bunny Rabbit,Creature,Rabbit,Chordata,Mammalia,Lagomorpha
Mondawmin-Moose,Mondawmin Moose,"Baltimore, MD",Opossum,Creature,Opossum,Chordata,Mammalia,Didelphimorphia
Tempesta,Tempesta,WI,Great Dane,Creature,Dog,Chordata,Mammalia,Carnivora
CODdles,CODdles,"Cleveland, OH",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
Maple,Maple,"Fresno, CA",Groundhog,Creature,Groundhog,Chordata,Mammalia,Rodentia
